[2026-03-26 02:34:25,496][root][INFO] - Epoch:  39 | Loss: 0.0006 | Val - MRR: 0.1526, MR: 4262.95, H@1: 0.102, H@3: 0.166, H@10: 0.249 | Test - MRR: 0.1442 | *
[2026-03-26 02:35:40,479][root][INFO] - Epoch:  40 | Loss: 0.0006 | Val - MRR: 0.1741, MR: 3979.40, H@1: 0.122, H@3: 0.190, H@10: 0.276 | Test - MRR: 0.1652 | *
[2026-03-26 02:36:48,553][root][INFO] - Epoch:  41 | Loss: 0.0006 | Val - MRR: 0.1555, MR: 4004.43, H@1: 0.106, H@3: 0.172, H@10: 0.248 | 
[2026-03-26 02:38:04,636][root][INFO] - Epoch:  42 | Loss: 0.0006 | Val - MRR: 0.1982, MR: 3962.28, H@1: 0.140, H@3: 0.218, H@10: 0.311 | Test - MRR: 0.1893 | *
[2026-03-26 02:39:13,486][root][INFO] - Epoch:  43 | Loss: 0.0006 | Val - MRR: 0.1954, MR: 4149.04, H@1: 0.138, H@3: 0.214, H@10: 0.311 | 
[2026-03-26 02:40:29,377][root][INFO] - Epoch:  44 | Loss: 0.0005 | Val - MRR: 0.2273, MR: 3819.02, H@1: 0.166, H@3: 0.251, H@10: 0.346 | Test - MRR: 0.2263 | *
[2026-03-26 02:41:44,977][root][INFO] - Epoch:  45 | Loss: 0.0005 | Val - MRR: 0.2379, MR: 3669.22, H@1: 0.176, H@3: 0.265, H@10: 0.358 | Test - MRR: 0.2319 | *
[2026-03-26 02:43:00,754][root][INFO] - Epoch:  46 | Loss: 0.0006 | Val - MRR: 0.2460, MR: 3619.04, H@1: 0.182, H@3: 0.273, H@10: 0.372 | Test - MRR: 0.2431 | *
[2026-03-26 02:44:15,708][root][INFO] - Epoch:  47 | Loss: 0.0006 | Val - MRR: 0.2648, MR: 3742.33, H@1: 0.199, H@3: 0.300, H@10: 0.392 | Test - MRR: 0.2658 | *
[2026-03-26 02:45:31,143][root][INFO] - Epoch:  48 | Loss: 0.0006 | Val - MRR: 0.2740, MR: 3622.45, H@1: 0.207, H@3: 0.310, H@10: 0.401 | Test - MRR: 0.2714 | *
[2026-03-26 02:46:45,907][root][INFO] - Epoch:  49 | Loss: 0.0005 | Val - MRR: 0.2983, MR: 3639.15, H@1: 0.231, H@3: 0.336, H@10: 0.423 | Test - MRR: 0.2970 | *
[2026-03-26 02:48:01,190][root][INFO] - Epoch:  50 | Loss: 0.0005 | Val - MRR: 0.3051, MR: 3590.18, H@1: 0.239, H@3: 0.342, H@10: 0.427 | Test - MRR: 0.3001 | *
[2026-03-26 02:49:16,433][root][INFO] - Epoch:  51 | Loss: 0.0005 | Val - MRR: 0.3091, MR: 3574.33, H@1: 0.241, H@3: 0.346, H@10: 0.435 | Test - MRR: 0.3068 | *
[2026-03-26 02:50:32,302][root][INFO] - Epoch:  52 | Loss: 0.0005 | Val - MRR: 0.3169, MR: 3587.39, H@1: 0.250, H@3: 0.357, H@10: 0.440 | Test - MRR: 0.3105 | *
[2026-03-26 02:51:47,230][root][INFO] - Epoch:  53 | Loss: 0.0005 | Val - MRR: 0.3329, MR: 3651.16, H@1: 0.265, H@3: 0.375, H@10: 0.455 | Test - MRR: 0.3294 | *
[2026-03-26 02:53:04,571][root][INFO] - Epoch:  54 | Loss: 0.0005 | Val - MRR: 0.3462, MR: 3715.26, H@1: 0.283, H@3: 0.383, H@10: 0.459 | Test - MRR: 0.3430 | *
[2026-03-26 02:54:13,712][root][INFO] - Epoch:  55 | Loss: 0.0005 | Val - MRR: 0.3374, MR: 3635.88, H@1: 0.268, H@3: 0.380, H@10: 0.461 | 
[2026-03-26 02:55:29,455][root][INFO] - Epoch:  56 | Loss: 0.0005 | Val - MRR: 0.3439, MR: 3437.11, H@1: 0.275, H@3: 0.387, H@10: 0.464 | Test - MRR: 0.3442 | *
[2026-03-26 02:56:45,017][root][INFO] - Epoch:  57 | Loss: 0.0005 | Val - MRR: 0.3749, MR: 3581.08, H@1: 0.315, H@3: 0.413, H@10: 0.479 | Test - MRR: 0.3687 | *
[2026-03-26 02:58:01,333][root][INFO] - Epoch:  58 | Loss: 0.0005 | Val - MRR: 0.3743, MR: 3654.93, H@1: 0.313, H@3: 0.412, H@10: 0.479 | Test - MRR: 0.3690 | *
[2026-03-26 02:59:09,502][root][INFO] - Epoch:  59 | Loss: 0.0005 | Val - MRR: 0.3395, MR: 3650.28, H@1: 0.275, H@3: 0.373, H@10: 0.458 | 
[2026-03-26 03:00:17,490][root][INFO] - Epoch:  60 | Loss: 0.0005 | Val - MRR: 0.3690, MR: 3674.19, H@1: 0.305, H@3: 0.408, H@10: 0.480 | 
[2026-03-26 03:01:34,129][root][INFO] - Epoch:  61 | Loss: 0.0005 | Val - MRR: 0.3872, MR: 3639.68, H@1: 0.328, H@3: 0.424, H@10: 0.487 | Test - MRR: 0.3868 | *
[2026-03-26 03:02:49,291][root][INFO] - Epoch:  62 | Loss: 0.0005 | Val - MRR: 0.3899, MR: 3656.85, H@1: 0.330, H@3: 0.428, H@10: 0.489 | Test - MRR: 0.3917 | *
